EAR,is_closed
0.15,0
0.2802,0
0.2058,0
0.28,0
0.1946,0
0.2419,0
0.0933,0
0.1751,0
0.1518,0
0.2568,0
0.2051,0
0.2673,0
0.1969,0
0.1769,0
0.2942,0
0.2339,0
0.268,0
0.1998,0
0.1858,0
0.1501,0
0.2008,0
0.325,0
0.1551,0
0.2419,0
0.2375,0
0.2622,0
0.256,0
0.2151,0
0.21,0
0.2207,0
0.3142,0
0.2347,0
0.2872,0
0.1418,0
0.2262,0
0.2511,0
0.2598,0
0.1034,0
0.1972,0
0.2033,0
0.2679,0
0.3342,0
0.2313,0
0.1597,0
0.2816,0
0.2366,0
0.2187,0
0.322,0
0.092,0
0.2251,0
0.1818,0
2.087,0
0.296,0
0.3384,0
0.1801,0
0.2886,0
0.3366,0
0.315,0
0.2414,0
0.3443,0
0.2443,0
0.1661,0
0.1871,0
0.2337,0
0.1823,0
0.1877,0
0.1718,0
0.3599,0
0.2114,0
0.2521,0
0.1965,0
0.2651,0
0.2319,0
0.2208,0
0.2272,0
0.1637,0
0.2906,0
0.1988,0
0.1646,0
0.2323,0
0.2129,0
0.3971,0
0.326,0
0.3359,0
0.1408,0
0.2253,0
0.2347,0
0.3187,0
0.1657,0
0.2637,0
0.3764,0
0.3053,0
0.1527,0
0.2779,0
0.3222,0
0.2731,0
0.34,0
0.1958,0
0.2296,0
0.3459,0
0.133,0
0.336,0
0.2188,0
0.2421,0
0.2594,0
0.1891,0
0.2096,0
0.2911,0
0.2752,0
0.1902,0
0.2623,0
0.2228,0
0.1732,0
0.1471,0
0.4268,0
0.0993,0
0.2552,0
0.2606,0
0.2218,0
0.1645,0
0.2657,0
0.1535,0
0.2643,0
0.1966,0
0.264,0
0.1165,0
0.1973,0
0.2325,0
0.3643,0
0.2456,0
0.2957,0
0.2618,0
0.2147,0
0.553,0
0.1378,0
0.1766,0
0.3014,0
0.2224,0
0.1231,0
0.1995,0
0.2559,0
0.1734,0
0.2531,0
0.2581,0
0.2053,0
0.2027,0
0.1462,0
0.1774,0
0.2865,0
0.2472,0
0.2124,0
0.1522,0
0.2994,0
0.1441,0
0.1918,0
0.2481,0
0.196,0
0.1829,0
0.2812,0
0.1798,0
0.1614,0
0.14,0
0.2437,0
0.4233,0
0.246,0
0.2034,0
0.2058,0
0.2265,0
0.1823,0
0.2069,0
0.1318,0
0.1666,0
0.1975,0
0.1025,0
